folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,median ,mean,diff,abs(diff)
page-blocks,44.334673,119.660906,51.62362,113.431943,68.759838,88.274335,47.175098,48.618742,52.885736,44.053235,59.931948,75.695009,83.592451,52.798497,54.400626,47.026092,59.87255,45.962049,99.640597,52.579765,71.643504,79.28302,55.871899,68.955057,58.060515,78.249689,117.302461,55.928613,61.568834,95.484812,,,59.902249,68.4222038,-8.5199548,8.5199548
parkinsons,10.79218,6.9636,3.414341,4.038972,13.004023,17.410063,16.476218,3.792937,16.958264,6.960243,8.346578,9.977292,10.338296,3.291835,4.070197,2.818794,6.537209,3.078303,5.336176,5.54261,7.128495,5.831788,3.935188,6.763421,2.867749,15.079289,15.602884,4.481264,3.405097,11.191767,,,6.650315,7.847835767,-1.197520767,1.197520767
pendigits,130.03505,140.102729,130.781157,126.798759,129.143153,122.27409,123.817872,124.994647,136.811418,125.676528,135.374014,132.695843,134.262754,138.371947,132.61754,135.331672,136.031836,138.445157,132.4172,126.5481,151.789959,138.627679,136.7229,145.537987,137.882023,154.860258,149.784855,147.839223,147.560277,147.037694,,,135.702925,136.339144,-0.636219033,0.636219033
pima,5.142093,5.838323,6.605384,8.202303,7.297583,8.502977,5.094144,4.95342,10.064591,5.959787,8.122481,5.531673,7.920587,15.272846,9.472461,8.582061,12.301105,10.627662,5.527402,8.348004,20.721539,8.062709,20.494465,5.823996,10.379031,6.466868,15.997156,8.089461,6.851376,4.513162,,,8.076085,8.892221667,-0.816136667,0.816136667
pittsburg-bridges-MATERIAL,6.050921,3.418509,0.983571,2.145989,1.356199,1.059536,1.101324,0.962608,2.024525,1.104144,9.084442,1.015999,1.26897,1.6149,0.91802,1.190542,4.258211,5.233192,1.192122,1.485767,1.256938,1.17799,5.475081,1.037557,1.274048,1.197822,1.0677,4.636888,1.76915,1.076719,,,1.262954,2.247979467,-0.985025467,0.985025467
pittsburg-bridges-REL-L,1.12433,1.482732,3.493833,1.300713,5.371124,6.198691,1.363663,1.359538,1.204419,13.615247,1.29126,1.522393,7.142015,2.875881,2.961987,1.736346,2.25655,1.289002,9.048325,9.870975,12.499246,1.503283,12.375629,2.378429,1.646085,1.12899,1.429002,3.340384,2.346645,11.158668,,,2.3015975,4.210512833,-1.908915333,1.908915333
pittsburg-bridges-SPAN,1.801034,3.326144,1.25295,1.312862,26.022492,1.403057,1.289471,1.205462,1.512694,1.353537,1.268723,1.276076,2.641095,2.191755,1.358188,7.068699,6.253696,1.695372,11.781391,2.303381,1.323587,5.591869,1.282582,1.933489,1.484704,2.275782,1.573819,4.362965,2.238345,1.333113,,,1.6345955,3.390611133,-1.756015633,1.756015633
pittsburg-bridges-T-OR-D,1.148849,0.760333,8.376809,1.000892,0.938398,0.98326,1.458474,0.999548,0.937104,3.183611,1.148999,1.091458,1.181636,0.966299,16.508586,1.052579,1.190606,1.038338,1.914919,1.145195,1.043744,1.331506,1.032746,0.831996,1.063333,1.376107,1.423431,2.088011,1.18489,1.226876,,,1.147022,1.987617767,-0.840595767,0.840595767
pittsburg-bridges-TYPE,1.344116,1.409625,1.303251,1.386222,1.269082,1.617816,1.572193,1.373408,6.312135,1.591223,21.152623,1.55866,1.288146,1.355259,1.888152,1.343196,1.485244,1.736015,1.458446,11.467597,1.264513,2.306255,4.342606,14.587007,1.454557,3.366019,4.346064,2.710042,1.732195,1.380024,,,1.5654265,3.380056367,-1.814629867,1.814629867
planning,1.323389,0.817194,1.034517,1.03884,6.677927,1.474293,0.820671,2.594238,3.743586,1.481718,2.800809,2.240262,1.493408,1.804999,1.737948,3.374542,3.353451,0.856897,1.156819,4.982011,1.045421,15.620564,0.784807,3.394037,1.401713,9.299403,1.258077,1.574261,0.820226,20.866551,,,1.5338345,3.3624193,-1.8285848,1.8285848
plant-margin,128.845096,145.548545,143.089672,153.075489,147.40857,152.54842,156.300144,151.049317,156.165532,150.811165,159.938638,147.869569,160.181258,154.554424,156.0469,160.384493,149.645025,167.447264,163.004563,167.305381,167.054404,165.385761,163.498845,168.855931,156.601999,153.733612,156.056216,161.391996,148.381177,143.708267,,,156.051558,155.1962558,0.855302233,0.855302233
plant-shape,824.969815,740.426148,720.968156,869.58685,769.199523,849.290199,723.798126,675.104822,678.007036,689.644129,683.782675,677.266586,709.549452,694.413562,683.071937,669.203744,724.262723,720.716287,812.35294,716.888284,711.315524,771.040259,781.11168,766.819404,768.609279,677.678907,717.221089,726.44554,737.023704,689.146522,,,720.8422215,732.6304967,-11.78827523,11.78827523
plant-texture,194.970871,192.197318,208.978943,234.755918,233.806632,228.024711,216.045605,232.783182,223.550491,243.133482,217.322033,230.92451,207.410397,225.523047,256.006159,217.510826,225.094068,222.807483,230.28965,246.87359,234.210543,220.629962,229.554916,250.682502,252.514323,226.277188,224.138895,227.338333,239.278013,224.546679,,,226.8077605,227.2393423,-0.431581833,0.431581833
post-operative,1.494721,1.637164,2.596556,1.705394,5.373404,1.229154,7.354618,1.838602,1.646628,2.375967,3.394577,4.524234,1.326201,1.344136,5.427876,2.283267,1.939486,1.270501,8.781678,1.397958,5.535951,1.538766,1.093405,1.302347,1.660347,2.221702,2.613171,1.395132,14.853712,11.775471,,,1.889044,3.431070867,-1.542026867,1.542026867
primary-tumor,4.432505,6.140776,6.53088,4.914269,5.82607,4.802865,14.880474,9.750149,17.936919,27.038395,25.030611,5.695215,37.226939,13.192359,16.205659,11.980707,4.852873,22.593623,5.131806,29.176904,4.920979,12.878937,8.778137,16.066599,17.487389,9.595962,5.406872,6.947905,28.971166,26.319046,,,10.865428,13.690433,-2.825005,2.825005
ringnorm,326.927547,353.976694,326.957794,333.869242,320.6646,339.950926,310.805508,326.231938,349.222901,340.235793,341.39328,361.369323,332.241029,309.145882,345.457612,385.3908,328.421342,326.881047,370.879581,364.590913,365.115048,364.8034,338.147949,364.294659,350.114434,370.05862,335.965387,349.457684,338.005002,335.09273,,,340.0933595,343.5222888,-3.428929333,3.428929333
seeds,1.716539,1.918228,1.726364,3.810881,2.031405,1.840692,2.089292,1.860374,1.77049,1.637973,4.936171,1.960004,2.084116,1.844419,1.638574,1.650815,1.982985,1.673517,1.818588,2.747292,1.566752,2.122254,2.203993,2.111199,1.807057,1.618956,1.789171,1.950505,7.904918,4.989231,,,1.889301,2.360091833,-0.470790833,0.470790833
semeion,145.507081,159.502506,158.958005,155.981531,150.23297,154.558692,153.954774,152.849915,132.238716,197.405442,148.756701,169.355485,162.466243,151.303968,168.200205,164.577897,167.105373,164.751367,218.671224,166.361687,156.321114,164.50018,141.348348,160.044092,150.495288,175.544128,173.367894,161.327567,151.170825,160.993669,,,159.773299,161.2617629,-1.4884639,1.4884639
soybean,20.103714,21.777353,19.919034,26.828255,35.555222,41.881017,26.182011,59.349983,29.237897,29.289384,43.931706,36.205153,20.599972,22.637657,20.940389,23.305884,20.879245,18.378424,61.013432,19.621392,35.201975,34.479664,48.888895,19.546406,41.689072,34.825473,20.957278,33.967987,25.173832,37.100531,,,28.033076,30.98227457,-2.949198567,2.949198567
spambase,133.26276,139.981383,127.892297,114.154592,124.793011,119.490779,150.518872,119.000931,164.687488,152.133406,153.468808,130.468677,140.238313,148.622235,126.536107,124.183925,167.913056,154.357606,155.5459,139.267399,150.744318,153.733271,140.247355,125.622829,173.432062,131.441966,142.743014,123.811808,151.344131,125.712595,,,140.109848,140.1783631,-0.068515133,0.068515133
spect,3.759833,16.10195,4.20728,4.88325,4.502536,4.627097,10.585805,16.158721,6.630286,5.110576,9.608395,3.87757,4.239781,4.510027,4.828872,3.561018,12.105312,19.323642,4.287562,38.52913,21.76058,6.398689,10.371213,10.793105,11.750821,10.535213,8.010102,20.978543,4.354905,19.926383,,,7.320194,10.21060657,-2.890412567,2.890412567
spectf,18.889604,8.142099,39.230334,16.412552,12.142729,18.962304,10.888141,5.235544,7.314255,21.177932,12.580704,6.120884,22.732191,7.182713,16.870715,9.174432,6.433619,5.402718,4.784245,7.228817,7.387627,13.121701,15.800215,20.381428,5.731038,9.005859,9.178385,8.384793,23.075267,6.520825,,,9.1764085,12.51645567,-3.340047167,3.340047167
statlog-australian-credit,18.676419,51.520072,30.267071,13.812666,31.544127,11.448394,11.257374,32.873599,10.329303,16.317501,17.208274,22.252961,9.517622,33.661521,44.138258,42.819329,27.016529,30.669679,39.01401,10.298498,10.22454,10.098903,34.205588,22.537901,29.427763,11.370445,11.89457,10.221016,9.896051,29.786548,,,20.46469,22.81021773,-2.345527733,2.345527733
statlog-german-credit,79.51049,108.43959,104.769217,20.783446,28.326337,38.61385,30.05412,38.152011,17.642171,55.875983,31.476928,24.933025,29.279298,36.555359,20.255127,49.916608,54.898619,103.119127,23.087105,20.00383,28.106081,22.501852,48.681314,30.146524,36.227198,23.972046,56.597318,49.539062,33.336096,24.944193,,,32.406512,42.3247975,-9.9182855,9.9182855
statlog-heart,15.117681,8.094281,8.341887,2.831813,4.034173,7.037888,3.211454,3.341739,4.443165,5.175324,3.286061,5.441051,8.912029,8.122251,6.523378,2.918024,23.700148,10.133001,3.002769,3.07611,13.334295,3.347215,3.437078,3.783688,11.966226,3.467449,19.351801,2.324851,12.84195,3.069566,,,4.8092445,7.1222782,-2.3130337,2.3130337
statlog-image,107.716165,88.46651,80.826565,60.696804,124.6935,34.544282,79.758843,82.803626,80.988445,103.229473,39.770732,42.129165,43.636469,40.031058,90.57387,49.222583,79.676533,32.951653,41.399221,83.082832,76.839245,44.276286,48.263102,31.538746,29.842136,66.447487,77.625326,117.458528,95.316259,36.207114,,,71.643366,67.0004186,4.6429474,4.6429474
statlog-landsat,247.700897,416.335847,159.457845,166.736739,178.323167,178.704474,175.93936,169.814315,192.586931,163.315017,179.173217,191.469732,179.728065,164.50462,265.724574,200.045497,215.643475,224.774532,174.277855,220.708863,205.12107,244.910706,174.317345,221.689598,176.103034,201.28036,165.477074,188.685761,167.305126,161.696711,,,179.450641,199.0517269,-19.6010859,19.6010859
statlog-shuttle,418.847518,535.494697,216.683979,199.217773,196.871096,215.383789,299.690195,277.123171,243.554482,246.828376,178.360202,226.939743,265.201022,208.608799,237.847212,236.224136,209.395169,208.046,327.879214,331.609473,266.977522,234.066063,459.593966,345.904604,269.106476,345.509448,582.905318,279.969836,279.48901,324.633833,,,266.089272,288.9320707,-22.84279873,22.84279873
statlog-vehicle,16.152959,14.98287,17.238667,15.67836,21.728582,77.608118,29.02082,35.485937,71.764018,29.318066,51.092774,46.540092,46.900799,64.01876,44.012162,15.793061,18.019356,42.658913,70.992167,14.731443,13.941032,13.317506,12.46639,14.683455,18.313603,35.404134,20.246006,24.913092,18.419569,23.05661,,,22.392596,31.2833107,-8.8907147,8.8907147
steel-plates,65.004492,70.25786,64.859513,71.345525,65.17181,67.876495,68.130056,59.899077,62.417629,71.386844,68.746671,69.951709,76.498928,67.647921,62.69165,76.174236,77.052054,77.627014,76.372218,68.495259,72.41129,69.335916,70.110821,63.042596,71.977981,77.654949,75.499393,65.650075,83.160764,72.353758,,,70.031265,70.29348347,-0.262218467,0.262218467
synthetic-control,49.181892,44.827191,40.094425,42.384544,83.631707,40.244241,79.239795,71.655551,53.175111,47.673602,47.200907,66.892396,34.387675,40.679431,49.08731,81.534674,44.808755,38.453225,48.158748,93.323407,42.888079,39.071145,40.746385,64.769391,83.501739,54.064511,80.326795,60.814845,42.333432,83.575238,,,48.623029,56.29087157,-7.667842567,7.667842567
teaching,1.663224,0.92694,1.697941,1.41849,1.296588,1.626489,1.978434,2.681656,1.675732,1.865937,23.694446,1.414468,1.480724,1.076617,1.398228,1.563878,2.369843,1.31396,23.862651,1.82117,2.206278,1.665224,1.704933,5.082833,1.883945,2.740362,1.665616,1.718799,1.603012,3.360262,,,1.6868365,3.348622667,-1.661786167,1.661786167
thyroid,25.438271,19.788797,25.359395,25.145812,17.545427,38.701246,23.732609,23.366449,24.522094,28.042119,22.393893,24.073707,29.436637,25.650052,32.474731,25.016832,64.352565,55.359748,44.250804,83.632209,63.787483,32.175062,57.02894,71.507179,17.042214,35.401439,79.21176,78.359067,23.725609,24.360767,,,26.8460855,38.02943057,-11.18334507,11.18334507
tic-tac-toe,11.054704,7.41807,4.894797,4.265213,9.072544,6.648115,17.078847,4.817937,5.689362,4.660863,4.996653,4.656591,7.39252,7.546378,11.121736,5.122706,4.943678,7.527518,4.695803,5.602921,6.054158,11.487525,6.113745,4.702058,5.060491,6.032538,5.767623,4.381664,5.947988,5.961224,,,5.8578055,6.690532333,-0.832726833,0.832726833
titanic,7.343191,7.139015,4.979728,12.193882,10.290797,29.903282,5.150829,5.726401,5.759932,15.676786,5.566589,14.9916,8.249984,8.810669,5.660094,5.324654,9.744741,6.330314,14.286384,48.419864,5.50152,20.506891,39.784944,17.399874,25.01762,32.384652,21.912875,17.01448,14.746231,9.005594,,,10.017769,14.4941139,-4.4763449,4.4763449
trains,6.699481,3.413623,3.711862,4.465935,10.793161,6.851223,5.347583,6.211742,6.451579,3.736607,6.241443,5.604715,3.967898,6.485332,3.999847,5.094762,3.46063,3.59994,5.244195,3.677474,4.346644,3.547468,4.09424,13.119973,7.672655,6.06507,5.192249,6.161397,6.14477,8.427971,,,5.295889,5.661048967,-0.365159967,0.365159967
twonorm,194.243538,193.656075,179.55903,209.960787,229.309076,198.816855,189.387205,219.123003,254.578259,198.046478,220.033715,220.680385,199.662181,203.989411,209.6386,226.946781,210.436549,226.898848,203.355984,203.562714,209.676138,268.08482,225.909873,207.255172,204.700548,213.312792,214.203711,211.734354,196.945334,175.850428,,,209.657369,210.6519548,-0.9945858,0.9945858
vertebral-column-2clases,3.58601,2.716761,6.193988,4.96486,7.521985,8.449685,3.691378,2.195721,4.892641,2.494712,9.509875,2.101428,2.009382,4.127031,2.811322,2.458672,2.391132,2.587177,2.07688,7.735643,17.182962,3.884174,7.134068,10.892263,2.937001,3.436455,5.195596,2.306852,4.530529,2.637491,,,3.638694,4.821789133,-1.183095133,1.183095133
vertebral-column-3clases,2.540124,13.475776,4.20506,2.766526,15.826412,3.662269,11.934382,3.50213,13.516117,7.900955,4.486821,5.19516,5.049501,2.395723,3.454745,2.502473,2.294904,3.085625,5.948461,2.95585,4.459301,2.869646,2.477925,7.900993,8.233958,2.52326,3.518024,2.372247,2.721593,2.264605,,,3.510077,5.2013522,-1.6912752,1.6912752
wall-following,95.059978,93.162815,101.485967,90.453179,93.478167,89.296814,92.102827,85.558914,83.636076,95.060467,87.380173,87.047263,84.709981,87.697189,93.623024,81.435756,101.528397,104.42008,93.129994,90.483926,111.659208,87.024025,110.725298,111.458292,91.460227,94.667078,97.176919,89.485275,92.943099,96.299094,,,93.0365465,93.78831673,-0.751770233,0.751770233
waveform,122.474617,110.419205,114.613322,113.172771,115.820694,123.798799,126.350336,114.661093,116.146973,111.326255,111.518369,116.464229,118.244131,142.259097,125.472672,121.864996,128.110158,116.895093,120.472277,120.372521,143.418605,119.290179,138.679196,125.411953,119.049052,115.311262,126.598854,119.734253,126.142205,199.140148,,,120.053387,124.1077772,-4.054390167,4.054390167
waveform-noise,208.707439,190.779821,197.887217,197.418737,200.660757,198.46479,201.717318,184.306402,212.028903,201.461874,201.419501,208.54726,218.400573,209.626242,205.885279,218.593878,210.515775,215.379479,213.159672,215.172484,210.024244,212.163459,214.039883,200.052013,220.774897,201.930072,201.90456,216.062468,198.790236,203.298942,,,207.2162695,206.3058058,0.910463667,0.910463667
wine,1.878626,9.38646,1.880366,1.983537,1.995992,17.821467,3.346659,2.066598,1.874918,1.825355,4.844281,2.166465,6.469291,2.049788,15.616362,1.850469,12.174215,1.995003,8.981783,2.333201,3.541672,2.198129,9.594214,2.530382,2.523714,3.300259,4.398271,2.160306,2.494398,4.326244,,,2.509056,4.653614167,-2.144558167,2.144558167
wine-quality-red,29.814887,24.299736,29.26964,31.31668,26.713651,30.037702,37.114426,46.264381,31.953484,31.997278,34.625322,57.192079,30.843212,34.226723,29.262888,37.610685,32.748239,44.727837,59.596371,26.802919,30.203595,28.972387,30.250697,34.666293,32.083629,56.528831,34.932582,29.066347,29.035671,28.549024,,,31.635082,34.69023987,-3.055157867,3.055157867
wine-quality-white,198.102041,96.990155,107.016173,109.054572,225.298031,92.465522,91.353494,111.072274,93.850514,93.567259,92.19283,95.507775,90.154383,79.432611,88.767626,100.655921,191.917844,95.974268,98.67203,84.032934,81.947422,113.793282,99.008822,102.243225,88.730654,113.535753,125.098135,118.086911,100.405878,98.038965,,,98.3554975,109.2322435,-10.87674597,10.87674597
yeast,29.652219,19.537939,19.884737,19.324935,116.703561,77.000102,51.474067,45.231616,125.137205,60.56582,66.013837,87.098066,49.923963,47.090884,21.431098,63.353874,65.493976,48.281695,18.660868,19.422174,17.745452,21.605502,22.411309,19.050651,22.050729,47.703417,35.315044,47.802034,40.718951,64.865972,,,46.16125,46.35172323,-0.190473233,0.190473233
zoo,1.437536,1.866925,2.527245,1.428214,2.390396,1.347994,1.530658,1.764859,1.443278,1.770997,1.445506,1.378006,1.603568,1.511231,3.359147,1.660767,1.494862,1.29032,1.358236,1.324918,1.492483,2.87555,1.231286,1.844878,1.644151,2.074296,1.272521,1.480656,2.735657,3.022289,,,1.5209445,1.786947667,-0.266003167,0.266003167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0995138,389.4662752,-9.366761392,13.00795823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median ,mean,diff,abs(diff)
